model,system,issue_id,title,package,predicted_priority,true_priority,confidence,reason
claude-sonnet-4-6,A,11491,[Bug]: ECC Check Silently Fails in edk2 CI for Windows and Linux,basetools,medium,low,0.6,"A silently failing ECC check in CI means code quality enforcement is broken without blocking builds, similar in severity to other CI/tooling issues that are functional bugs with workarounds."
claude-sonnet-4-6,A,11449,[Bug]: ShellPkg: add MRDIMM support in MemoryDeviceMemoryTechnologyTable to satisfy smbios v3.8,shellpkg,medium,medium,0.75,"Similar to the ShellPkg ARMV9 SMBIOS support issue (labeled medium), this is a missing feature addition required for SMBIOS v3.8 spec compliance, which is a published and widely adopted spec."
claude-sonnet-4-6,A,11394,[Bug]: BSP could free AP reset vector buffer even though AP wake up is in process,ueficpupkg,high,medium,0.75,"A race condition where the BSP frees the AP reset vector buffer while APs are still waking up can cause crashes or undefined behavior during CPU initialization, similar to other high-priority race condition bugs like the BaseRiscV64CpuTimerLib crash issue."
claude-sonnet-4-6,A,11391,[Bug]: Encountering a build error with the CLANG compiler.,cryptopkg,medium,high,0.75,"A build error with CLANG compiler in CryptoPkg is similar to the precedent of 'CryptoPkg cannot be built with VS2022' (labeled medium), as it is a build failure limited to a specific compiler rather than blocking all configurations."
claude-sonnet-4-6,A,11374,[Bug]: UEFI runtime drivers loaded after EndOfDxe are not executable by OS,mdemodulepkg|ovmfpkg,medium,medium,0.55,"Runtime drivers loaded after EndOfDxe being non-executable by OS is a functional bug with a specific scope (runtime driver memory permissions), similar to the DXE core memory protection inconsistency issue but less severe as it affects a narrower scenario with potential workarounds."
claude-sonnet-4-6,A,11360,[Bug]: TCG2/TPM2 support on RISC-V does not work,ovmfpkg,medium,medium,0.6,"TCG2/TPM2 support not working on RISC-V is a functional bug affecting a specific platform/architecture combination, similar to 'qemu-kvm GUEST start failed on RISC-V' which was labeled medium, with a workaround of not using TPM on that platform."
claude-sonnet-4-6,A,11336,[Bug]: Potential infinite loop and incorrect DeviceList handling in OpalPassword,securitypkg,medium,medium,0.6,"A potential infinite loop in OpalPassword is a functional bug that could cause firmware to hang during device enumeration, but it has a limited scope (specific OPAL/TCG storage device configurations) and may have workarounds, aligning it with medium priority similar to other functional bugs with limited impact scope."
claude-sonnet-4-6,A,11256,[Bug]: Assert if default string id is 0.,mdemodulepkg,low,low,0.7,"An assert on an edge case (default string id being 0) in mdemodulepkg is a non-critical edge case similar to other low-priority mdemodulepkg UI/form bugs like the 'SetupBrowserDxe' code issue and 'unexpected black box' issues, which were both labeled low."
claude-sonnet-4-6,A,11190,[Bug]: CodeQl error reported in NetBuffer.c,networkpkg,low,low,0.75,"CodeQL errors are static analysis/code quality findings similar to warnings that don't block builds, analogous to the 'ECC Check Silently Fails' and 'CLANGPDB linker warning' issues labeled as low."
claude-sonnet-4-6,A,11140,[Bug]: Replace hardcoded value with existing #define constant,networkpkg,low,low,0.92,"Replacing a hardcoded value with an existing #define constant is a code quality/cosmetic improvement with no functional impact, similar to the CodeQl error in NetBuffer.c (networkpkg, low) and other cosmetic/code quality issues labeled low."
claude-sonnet-4-6,A,11118,[Bug]: Var Store Fails to Recover from FTW Spare Block After Corruption,mdemodulepkg,medium,high,0.65,"A variable store failing to recover from FTW spare block after corruption is a functional bug in MdeModulePkg related to fault tolerance write recovery, which could cause data loss but has workarounds (reflash/reset), making it medium priority similar to other MdeModulePkg functional bugs in the examples."
claude-sonnet-4-6,A,11113,[Bug]: InstallProtocolInterface() does not update the key of an existing handle,mdemodulepkg,medium,low,0.6,"A bug in InstallProtocolInterface() affecting handle key updates is a functional correctness issue in a core DXE service that could cause protocol lookup failures or incorrect behavior, but without evidence of crashes or data corruption, it falls in the medium range consistent with similar MdeModulePkg functional bugs."
claude-sonnet-4-6,A,11088,[Bug]: <title>Add Ask deepwiki entry,other,low,low,0.7,"Adding a documentation/wiki entry (deepwiki) is a cosmetic or documentation change with no functional impact on firmware behavior, build, or security."
claude-sonnet-4-6,A,11074,[Bug]: default OVMF build overwrites memory on FreePages() causing page fault if pages are not writable,mdepkg,high,low,0.8,"FreePages() causing a page fault (crash) due to memory overwrite is a direct crash/data corruption bug affecting the default OVMF build, which impacts all users of that configuration."
claude-sonnet-4-6,A,10925,[Bug]: Raid card option rom is not displayed in Device Manager form after repairing in Driver Health form.,mdemodulepkg,low,low,0.7,"This is a UI display bug in Device Manager form where a RAID card option ROM entry is not shown after a repair action, which is a cosmetic/functional UI issue with a workaround (similar to other low-priority UI bugs in mdemodulepkg like 'An unexpected black box appears at Setup Hotkey Region')."
claude-sonnet-4-6,A,10892,[Bug]: SEV and SEV-ES VM boot is broken due to faulty check in AmdSvsmIsSvsmPresent(),ovmfpkg,high,high,0.82,"SEV and SEV-ES VM boot being completely broken (not booting at all) due to a faulty check is a crash/boot failure affecting all users of those configurations, similar to the 'qemu-kvm GUEST start failed on RISC-V' (medium) but more severe since it affects security-critical AMD confidential computing features and causes complete boot failure rather than a functional degradation."
claude-sonnet-4-6,A,10866,[Bug]: An unexpected black box appears at Setup Hotkey Region.,mdemodulepkg,low,low,0.85,"An unexpected black box in the Setup Hotkey Region is a cosmetic/UI display issue, similar to other low-priority UI bugs in mdemodulepkg like 'Assert if default string id is 0' and 'Raid card option rom is not displayed in Device Manager form', and does not prevent user interaction with the firmware."
claude-sonnet-4-6,A,10839,[Bug]: [OvmfPkg] Build fails due to insufficient FV size in edk2-stable202502,ovmfpkg,high,medium,0.75,"A build failure in OvmfPkg due to insufficient FV size blocks all users building that configuration, similar in severity to other high-priority build failures that block entire configurations."
claude-sonnet-4-6,A,10802,[Bug]: <title>error LNK2001: unresolved external symbol __security_pop_cookie Compile for AARCH64  in SafeString.obj,mdepkg,medium,medium,0.75,"This is a build failure (unresolved external symbol __security_pop_cookie) limited to a specific architecture (AARCH64) and likely a specific toolchain, similar to the CLANGPDB-specific build failures labeled medium."
claude-sonnet-4-6,A,10773,[Bug]: Configuring TemporaryRamSize using FSP-T arch UPD (added as part of Spec 2.5) is not working as expected.,intelfsp2pkg,medium,medium,0.6,"A functional bug where a spec-defined configuration feature (FSP-T arch UPD from FSP Spec 2.5) is not working as expected represents a spec compliance gap with a workaround (using alternative configuration methods), warranting medium priority."
claude-sonnet-4-6,A,10771,[Bug]: DXE core memory protection feature might cause inconsistency between GCD internal data structure with CPU page table,mdemodulepkg,medium,high,0.7,"An inconsistency between GCD internal data structures and CPU page tables in the DXE core memory protection feature is a functional bug that could cause instability or incorrect behavior but likely has workarounds (e.g., disabling memory protection), similar to other medium-priority MdeModulePkg data structure and runtime issues."
claude-sonnet-4-6,A,10723,[Bug]: ShellPkg: ARMV9 support should be added to SmbioView command based on Type 4 processor information.,shellpkg,medium,medium,0.7,"Similar to the ShellPkg MRDIMM/smbios spec compliance issue labeled medium, this is a missing feature/spec compliance gap for ARMV9 processor support in SmbioView that addresses a published spec but is not a crash or security issue."
claude-sonnet-4-6,A,10664,[Bug]: Should update openssl to 3.4.1 for CVE-2024-13176,cryptopkg,low,low,0.75,"CVE updates in OpenSSL are not automatically high priority in UEFI firmware per domain knowledge rule 1; CVE-2024-13176 is an ECDSA timing side-channel vulnerability that is unlikely to be reachable or exploitable in the UEFI execution environment, making this a maintenance update rather than a critical security fix."
claude-sonnet-4-6,A,10663,[Bug]: [QEMU_EFI] Not Loading Network Protocol Drivers and http efi command,networkpkg|ovmfpkg,medium,low,0.6,"Network protocol drivers not loading in QEMU_EFI is a functional bug affecting networking functionality in a specific configuration (QEMU with ArmVirtPkg/OvmfPkg), similar in scope to other medium-priority OvmfPkg functional issues."
claude-sonnet-4-6,A,10637,[Bug]: CLANGPDB linker warning /align without /driver,build-or-ci-code,low,low,0.75,"A linker warning in CLANGPDB that does not block the build is a cosmetic/non-blocking issue, similar to other low-priority warning and code quality issues in the examples."
claude-sonnet-4-6,A,10626,[Bug]: <title> DXE_ASSERT when issuing drvcfg command in UEFI Shell,shellpkg,medium,low,0.6,"A DXE_ASSERT triggered by a UEFI Shell command (drvcfg) indicates a functional crash in a specific code path, similar in severity to other functional bugs with workarounds in ShellPkg examples labeled medium."
claude-sonnet-4-6,A,10557,BaseTools FMMT handle case where Parent.Data is none (previously easier bug report?),nan,low,high,0.7,"This is a BaseTools FMMT edge-case fix for a None data handling scenario, similar in nature to other low-priority code quality/cosmetic fixes in the examples, with no indication of crashes, data corruption, or build failures blocking all users."
