model,system,issue_id,title,package,type,priority,predicted_assignee,confidence,reason,true_assignee,correct
gpt-5.5,A,11336,[Bug]: Potential infinite loop and incorrect DeviceList handling in OpalPassword,securitypkg,bug,medium,HunterChang030,0.97,"The bug is in SecurityPkg and specifically concerns OpalPassword DeviceList handling, which directly matches the unique historical assignment pattern for HunterChang030.",HunterChang030,True
gpt-5.5,A,11256,[Bug]: Assert if default string id is 0.,mdemodulepkg,bug,low,EricGao2015,0.93,"The bug is in MdeModulePkg and specifically concerns an assert/string-id issue, which the historical patterns assign to EricGao2015.",EricGao2015,True
gpt-5.5,A,11190,[Bug]: CodeQl error reported in NetBuffer.c,networkpkg,bug,low,BritChesley,0.95,"The bug is in NetworkPkg and specifically reports a CodeQL/static-analysis error, which matches the historical NetworkPkg CodeQL pattern assigned to BritChesley.",BritChesley,True
gpt-5.5,A,11140,[Bug]: Replace hardcoded value with existing #define constant,networkpkg,bug,low,SaloniKasbekar,0.95,"The bug is in NetworkPkg and specifically concerns replacing a hardcoded value with an existing #define constant, which matches SaloniKasbekar's historical assignment pattern.",SaloniKasbekar,True
gpt-5.5,A,11118,[Bug]: Var Store Fails to Recover from FTW Spare Block After Corruption,mdemodulepkg,bug,high,wenbhou,0.96,"The bug is in MdeModulePkg variable storage/FTW spare block recovery, which specifically matches wenbhou's historical assignment pattern.",wenbhou,True
gpt-5.5,A,11113,[Bug]: InstallProtocolInterface() does not update the key of an existing handle,mdemodulepkg,bug,low,lgao4,0.96,"This is a MdeModulePkg core DXE protocol/handle management issue specifically involving InstallProtocolInterface(), which the historical patterns map to lgao4.",lgao4,True
gpt-5.5,A,11088,[Bug]: <title>Add Ask deepwiki entry,other,bug,low,mdkinney,0.22,"The issue is package:other and appears to be a repository-level documentation or metadata request, with no precise historical component match, so the broad maintainer-like prior for mdkinney is the weakest applicable signal.",lgao4,False
gpt-5.5,A,11074,[Bug]: default OVMF build overwrites memory on FreePages() causing page fault if pages are not writable,mdepkg,bug,low,os-d,0.95,"The bug is a MdePkg/OVMF physical memory management issue specifically involving FreePages() and page writability, which matches os-d's historical scope.",os-d,True
gpt-5.5,A,10925,[Bug]: Raid card option rom is not displayed in Device Manager form after repairing in Driver Health form.,mdemodulepkg,bug,low,EricGao2015,0.9,"The bug is in MdeModulePkg and specifically concerns the Device Manager form display behavior, which matches EricGao2015's historical assignments for Device Manager/UI form issues.",EricGao2015,True
gpt-5.5,A,10892,[Bug]: SEV and SEV-ES VM boot is broken due to faulty check in AmdSvsmIsSvsmPresent(),ovmfpkg,bug,high,jxu023,0.96,"The bug is in OvmfPkg and specifically concerns AMD SEV/SEV-ES VM boot with AmdSvsm, which matches the historical pattern for jxu023.",jxu023,True
gpt-5.5,A,10866,[Bug]: An unexpected black box appears at Setup Hotkey Region.,mdemodulepkg,bug,low,EricGao2015,0.93,"The bug is in MdeModulePkg and specifically concerns Setup Hotkey display/region rendering, which matches EricGao2015's historical assignment pattern.",EricGao2015,True
gpt-5.5,A,10839,[Bug]: [OvmfPkg] Build fails due to insufficient FV size in edk2-stable202502,ovmfpkg,bug,medium,r1chard-lyu,0.42,"The issue is an OvmfPkg platform build/FV-size configuration failure, which does not match the more specific OvmfPkg memory, RISC-V, SEV, NetworkPkg, or Arm menu patterns, making r1chard-lyu the best available OvmfPkg build-related choice.",r1chard-lyu,True
gpt-5.5,A,10802,[Bug]: <title>error LNK2001: unresolved external symbol __security_pop_cookie Compile for AARCH64  in SafeString.obj,mdepkg,bug,medium,os-d,0.95,"The bug is in MdePkg and is specifically an LNK2001 unresolved symbol error for __security_pop_cookie, which the historical pattern explicitly maps to os-d.",os-d,True
gpt-5.5,A,10773,[Bug]: Configuring TemporaryRamSize using FSP-T arch UPD (added as part of Spec 2.5) is not working as expected.,intelfsp2pkg,bug,medium,praravin,0.98,"The bug is in IntelFsp2Pkg and specifically concerns FSP-T TemporaryRamSize configuration, which matches the unique historical pattern for praravin.",praravin,True
gpt-5.5,A,10771,[Bug]: DXE core memory protection feature might cause inconsistency between GCD internal data structure with CPU page table,mdemodulepkg,bug,high,os-d,0.92,"This is a DXE core memory-protection/page-table consistency issue involving GCD internal data structures, which matches os-d's physical memory and memory-protection bug pattern.",os-d,True
gpt-5.5,A,10723,[Bug]: ShellPkg: ARMV9 support should be added to SmbioView command based on Type 4 processor information.,shellpkg,bug,medium,praveensankarn,0.98,"The bug is in ShellPkg SmbioView and specifically requests ARMV9 Type 4 processor support, which matches the historical praveensankarn assignment pattern.",praveensankarn,True
gpt-5.5,A,10664,[Bug]: Should update openssl to 3.4.1 for CVE-2024-13176,cryptopkg,bug,low,liyi77,0.97,"The bug is in CryptoPkg and specifically requests an OpenSSL version update for a CVE, which matches the historical pattern assigned to liyi77.",liyi77,True
gpt-5.5,A,10663,[Bug]: [QEMU_EFI] Not Loading Network Protocol Drivers and http efi command,networkpkg|ovmfpkg,bug,low,AndreasBBS,0.95,"The bug involves both QEMU_EFI/OvmfPkg and NetworkPkg with network protocol driver loading, which matches the specific historical pattern assigned to AndreasBBS.",AndreasBBS,True
gpt-5.5,A,10637,[Bug]: CLANGPDB linker warning /align without /driver,build-or-ci-code,bug,low,deeglaze,0.98,"This is a CLANGPDB linker warning outside RedfishPkg, specifically the '/align without /driver' warning pattern historically assigned to deeglaze.",deeglaze,True
gpt-5.5,A,10626,[Bug]: <title> DXE_ASSERT when issuing drvcfg command in UEFI Shell,shellpkg,bug,low,zhurui22,0.55,"The bug is labeled ShellPkg and concerns a UEFI Shell drvcfg command DXE_ASSERT, which is a generic ShellPkg shell-command issue rather than the SMBIOS/SmbioView subareas mapped to praveensankarn or NingFengGit.",zhurui22,True
gpt-5.5,A,10557,BaseTools FMMT handle case where Parent.Data is none (previously easier bug report?),nan,bug,high,AshrafAliS,0.55,"The bug is specifically in BaseTools FMMT, which does not match the ECC/CI or NASM/toolchain BaseTools patterns, making AshrafAliS the most plausible specialized BaseTools/FMMT assignee among the available choices.",AshrafAliS,True
