model,system,issue_id,title,package,is_invalid,confidence,reason,true_invalid
claude-sonnet-4-6,A,11118,[Bug]: Var Store Fails to Recover from FTW Spare Block After Corruption,mdemodulepkg,False,0.92,"This is a legitimate bug report about variable store FTW (Fault Tolerant Write) spare block recovery failure in MdeModulePkg, which is a real EDK II firmware component.",False
claude-sonnet-4-6,A,11113,[Bug]: InstallProtocolInterface() does not update the key of an existing handle,mdemodulepkg,False,0.95,"This is a genuine bug report about InstallProtocolInterface() behavior in MdeModulePkg, specifically about handle key updates, which is a legitimate EDK II firmware component issue.",False
claude-sonnet-4-6,A,11088,[Bug]: <title>Add Ask deepwiki entry,other,True,0.95,"This appears to be a spam or test issue unrelated to EDK II firmware development, referencing 'deepwiki' with no legitimate bug report content.",False
claude-sonnet-4-6,A,11074,[Bug]: default OVMF build overwrites memory on FreePages() causing page fault if pages are not writable,mdepkg,False,0.95,"This is a genuine bug report describing a memory corruption/page fault issue in OVMF's FreePages() implementation that could affect non-writable memory pages, which is a legitimate EDK II bug worth investigating.",False
claude-sonnet-4-6,A,10925,[Bug]: Raid card option rom is not displayed in Device Manager form after repairing in Driver Health form.,mdemodulepkg,False,0.85,This is a genuine bug report about a UI/HII form behavior issue in MdeModulePkg related to Driver Health and Device Manager forms in EDK II firmware.,False
claude-sonnet-4-6,A,10892,[Bug]: SEV and SEV-ES VM boot is broken due to faulty check in AmdSvsmIsSvsmPresent(),ovmfpkg,False,0.98,This is a genuine bug report about a specific EDK II component (AmdSvsmIsSvsmPresent() in OvmfPkg) causing SEV/SEV-ES VM boot failures.,False
claude-sonnet-4-6,A,10866,[Bug]: An unexpected black box appears at Setup Hotkey Region.,mdemodulepkg,False,0.85,"This is a legitimate bug report about an unexpected visual artifact (black box) appearing in the Setup Hotkey Region, relating to MdeModulePkg UI/display functionality in EDK II.",False
claude-sonnet-4-6,A,10839,[Bug]: [OvmfPkg] Build fails due to insufficient FV size in edk2-stable202502,ovmfpkg,False,0.97,"This is a genuine build failure bug report for OvmfPkg in a specific edk2 release, which is clearly within scope for the EDK II project tracker.",False
claude-sonnet-4-6,A,10802,[Bug]: <title>error LNK2001: unresolved external symbol __security_pop_cookie Compile for AARCH64  in SafeString.obj,mdepkg,False,0.95,This is a genuine build failure bug report describing a linker error (unresolved external symbol __security_pop_cookie) when compiling MdePkg for AARCH64 architecture.,False
claude-sonnet-4-6,A,10773,[Bug]: Configuring TemporaryRamSize using FSP-T arch UPD (added as part of Spec 2.5) is not working as expected.,intelfsp2pkg,False,0.95,"This is a genuine bug report about FSP-T architecture UPD configuration in IntelFsp2Pkg, which is a legitimate EDK II package component.",False
claude-sonnet-4-6,A,10771,[Bug]: DXE core memory protection feature might cause inconsistency between GCD internal data structure with CPU page table,mdemodulepkg,False,0.98,This is a legitimate bug report describing a potential inconsistency between GCD internal data structures and CPU page tables in the DXE core memory protection feature of MdeModulePkg.,False
claude-sonnet-4-6,A,10723,[Bug]: ShellPkg: ARMV9 support should be added to SmbioView command based on Type 4 processor information.,shellpkg,False,0.95,"This is a legitimate bug report requesting ARMV9 processor type support in the ShellPkg SmbioView command for SMBIOS Type 4 processor information, which is a real EDK II component enhancement/bug fix.",False
claude-sonnet-4-6,A,10664,[Bug]: Should update openssl to 3.4.1 for CVE-2024-13176,cryptopkg,False,0.97,This is a valid security vulnerability report requesting an OpenSSL version update in CryptoPkg to address CVE-2024-13176.,False
claude-sonnet-4-6,A,10663,[Bug]: [QEMU_EFI] Not Loading Network Protocol Drivers and http efi command,networkpkg|ovmfpkg,False,0.85,"This is a genuine bug report about network protocol drivers and HTTP EFI command not loading in QEMU_EFI, which relates to NetworkPkg and OvmfPkg components of EDK II.",False
claude-sonnet-4-6,A,10637,[Bug]: CLANGPDB linker warning /align without /driver,build-or-ci-code,False,0.95,This is a legitimate bug report about a CLANGPDB linker warning related to build toolchain behavior in EDK II.,False
claude-sonnet-4-6,A,10626,[Bug]: <title> DXE_ASSERT when issuing drvcfg command in UEFI Shell,shellpkg,False,0.85,"This is a legitimate bug report about a DXE_ASSERT triggered by the drvcfg command in UEFI Shell, which relates to the ShellPkg component of EDK II.",False
claude-sonnet-4-6,A,10557,BaseTools FMMT handle case where Parent.Data is none (previously easier bug report?),nan,False,0.85,"This is a valid bug report about BaseTools FMMT (Firmware Module Management Tool) failing to handle a None value for Parent.Data, which is a legitimate EDK II build tool issue.",False
