model,system,issue_id,title,package,type,priority,comments,state,predicted_assignee,confidence,reason,corrected,true_assignee,correct
gpt-5.5,A,11256,[Bug]: Assert if default string id is 0.,mdemodulepkg,bug,low,4,nan,EricGao2015,high,"The bug is in MdeModulePkg and specifically concerns an assert/default string-id issue, which matches the historical EricGao2015 pattern for assert/string-id bugs.",False,EricGao2015,True
gpt-5.5,A,11190,[Bug]: CodeQl error reported in NetBuffer.c,networkpkg,bug,low,1,needs-triage,BritChesley,high,"The bug is in NetworkPkg and specifically reports a CodeQL/static-analysis error, which matches the historical NetworkPkg CodeQL assignment pattern for BritChesley.",False,BritChesley,True
gpt-5.5,A,11140,[Bug]: Replace hardcoded value with existing #define constant,networkpkg,bug,low,1,needs-triage,SaloniKasbekar,high,"The bug is in NetworkPkg and specifically concerns replacing a hardcoded value with an existing #define constant, which matches SaloniKasbekar's historical assignment pattern.",False,SaloniKasbekar,True
gpt-5.5,A,11118,[Bug]: Var Store Fails to Recover from FTW Spare Block After Corruption,mdemodulepkg,bug,high,0,nan,wenbhou,high,"The bug is in MdeModulePkg variable store/FTW spare block recovery, which matches the historical assignment pattern for wenbhou.",False,wenbhou,True
gpt-5.5,A,11113,[Bug]: InstallProtocolInterface() does not update the key of an existing handle,mdemodulepkg,bug,low,2,needs-maintainer-feedback,lgao4,high,"This is a MdeModulePkg core DXE protocol/handle management issue specifically involving InstallProtocolInterface(), which historically maps to lgao4.",False,lgao4,True
gpt-5.5,A,11088,[Bug]: <title>Add Ask deepwiki entry,other,bug,low,1,nan,mdkinney,low,"The bug is labeled package:other and only mentions adding an Ask DeepWiki entry, which does not match any specific historical package/component pattern, so a general maintainer-style assignee is the weakest fit.",False,lgao4,False
gpt-5.5,A,11074,[Bug]: default OVMF build overwrites memory on FreePages() causing page fault if pages are not writable,mdepkg,bug,low,14,needs-maintainer-feedback|needs-triage,os-d,high,"The bug is about physical memory handling in OVMF/MdePkg, specifically FreePages() causing page faults when pages are not writable, which matches os-d's historical FreePages/page-table/memory-protection domain.",False,os-d,True
gpt-5.5,A,10925,[Bug]: Raid card option rom is not displayed in Device Manager form after repairing in Driver Health form.,mdemodulepkg,bug,low,7,needs-triage,EricGao2015,high,"The bug is in MdeModulePkg and specifically concerns the Device Manager form display behavior, which matches EricGao2015's historical Device Manager/UI forms assignments.",False,EricGao2015,True
gpt-5.5,A,10892,[Bug]: SEV and SEV-ES VM boot is broken due to faulty check in AmdSvsmIsSvsmPresent(),ovmfpkg,bug,high,5,needs-maintainer-feedback|needs-triage,jxu023,high,"The bug is in OvmfPkg and specifically concerns AMD SEV/SEV-ES VM boot with AmdSvsm, which matches the historical assignment pattern for jxu023.",False,jxu023,True
gpt-5.5,A,10866,[Bug]: An unexpected black box appears at Setup Hotkey Region.,mdemodulepkg,bug,low,1,needs-triage,EricGao2015,high,"The bug is in MdeModulePkg and specifically concerns Setup Hotkey region display/UI behavior, which matches the historical Setup Hotkey display bugs assigned to EricGao2015.",False,EricGao2015,True
gpt-5.5,A,10839,[Bug]: [OvmfPkg] Build fails due to insufficient FV size in edk2-stable202502,ovmfpkg,bug,medium,4,needs-maintainer-feedback,r1chard-lyu,low,"The issue is an OvmfPkg-specific build/FV-size failure, which does not match the listed OvmfPkg memory, RISC-V, SEV, NetworkPkg, or Arm-menu regression patterns, making r1chard-lyu the best remaining OvmfPkg-oriented choice.",False,r1chard-lyu,True
gpt-5.5,A,10802,[Bug]: <title>error LNK2001: unresolved external symbol __security_pop_cookie Compile for AARCH64  in SafeString.obj,mdepkg,bug,medium,0,needs-triage,os-d,high,"The bug is in MdePkg and specifically matches the historical pattern for MdePkg LNK2001 unresolved symbol errors such as __security_pop_cookie, which are assigned to os-d.",False,os-d,True
gpt-5.5,A,10773,[Bug]: Configuring TemporaryRamSize using FSP-T arch UPD (added as part of Spec 2.5) is not working as expected.,intelfsp2pkg,bug,medium,0,needs-triage,praravin,high,"The bug is in IntelFsp2Pkg and specifically concerns FSP-T TemporaryRamSize configuration, which directly matches the historical pattern for praravin.",False,praravin,True
gpt-5.5,A,10771,[Bug]: DXE core memory protection feature might cause inconsistency between GCD internal data structure with CPU page table,mdemodulepkg,bug,high,23,needs-triage,os-d,high,"The bug concerns DXE core memory protection causing GCD internal data structure and CPU page table inconsistency, matching os-d's historical scope for physical memory, GCD, page-table, and memory-protection issues.",False,os-d,True
gpt-5.5,A,10723,[Bug]: ShellPkg: ARMV9 support should be added to SmbioView command based on Type 4 processor information.,shellpkg,bug,medium,4,needs-maintainer-feedback,praveensankarn,high,"The bug is in ShellPkg SmbioView and specifically requests ARMV9 processor Type 4 support, which matches the historical pattern for praveensankarn.",False,praveensankarn,True
gpt-5.5,A,10664,[Bug]: Should update openssl to 3.4.1 for CVE-2024-13176,cryptopkg,bug,low,0,nan,liyi77,high,"The bug is in CryptoPkg and specifically requests an OpenSSL version update for a CVE, which matches liyi77's historical assignment pattern.",False,liyi77,True
gpt-5.5,A,10663,[Bug]: [QEMU_EFI] Not Loading Network Protocol Drivers and http efi command,networkpkg|ovmfpkg,bug,low,14,needs-triage,AndreasBBS,high,"The bug explicitly combines QEMU_EFI/OvmfPkg with NetworkPkg driver-loading issues, which matches the AndreasBBS historical assignment pattern.",False,AndreasBBS,True
gpt-5.5,A,10637,[Bug]: CLANGPDB linker warning /align without /driver,build-or-ci-code,bug,low,1,nan,deeglaze,high,"This is a CLANGPDB linker warning outside RedfishPkg, specifically the '/align without /driver' toolchain warning pattern assigned to deeglaze.",False,deeglaze,True
gpt-5.5,A,10626,[Bug]: <title> DXE_ASSERT when issuing drvcfg command in UEFI Shell,shellpkg,bug,low,0,nan,zhurui22,low,"The bug is in ShellPkg and specifically the UEFI Shell drvcfg command, which does not match the ShellPkg SMBIOS/SmbioView patterns for NingFengGit or praveensankarn, so zhurui22 is the best available general ShellPkg fit.",False,zhurui22,True
gpt-5.5,A,10557,BaseTools FMMT handle case where Parent.Data is none (previously easier bug report?),nan,bug,high,9,nan,AshrafAliS,medium,"The issue is a BaseTools FMMT tool bug, which does not match the BaseTools CI/ECC or NASM/toolchain patterns and most specifically points to the FMMT-focused assignee.",False,AshrafAliS,True
