model,system,issue_id,title,package,is_invalid,confidence,reason,true_invalid
claude-sonnet-4-6,A,11491,[Bug]: ECC Check Silently Fails in edk2 CI for Windows and Linux,basetools,False,0.97,"This is a legitimate bug report about ECC (Edk2 Code Check) silently failing in CI environments on both Windows and Linux, which directly relates to EDK II build infrastructure and coding style enforcement tools.",False
claude-sonnet-4-6,A,11449,[Bug]: ShellPkg: add MRDIMM support in MemoryDeviceMemoryTechnologyTable to satisfy smbios v3.8,shellpkg,False,0.95,This is a legitimate bug report requesting MRDIMM support in the SMBIOS MemoryDeviceMemoryTechnologyTable within ShellPkg to comply with SMBIOS v3.8 specification.,False
claude-sonnet-4-6,A,11394,[Bug]: BSP could free AP reset vector buffer even though AP wake up is in process,ueficpupkg,False,0.95,This is a legitimate bug report about a race condition in UefiCpuPkg where the BSP may free the AP reset vector buffer while APs are still using it during wake-up.,False
claude-sonnet-4-6,A,11391,[Bug]: Encountering a build error with the CLANG compiler.,cryptopkg,False,0.95,"This is a genuine bug report about a build error with the CLANG compiler in CryptoPkg, which is a legitimate EDK II package build failure.",False
claude-sonnet-4-6,A,11374,[Bug]: UEFI runtime drivers loaded after EndOfDxe are not executable by OS,mdemodulepkg|ovmfpkg,False,0.92,"This is a genuine bug report about UEFI runtime drivers loaded after EndOfDxe not being executable by the OS, which relates to EDK II DXE dispatch and memory attribute handling in MdeModulePkg/OvmfPkg.",False
claude-sonnet-4-6,A,11360,[Bug]: TCG2/TPM2 support on RISC-V does not work,ovmfpkg,False,0.97,"This is a genuine bug report about TCG2/TPM2 support not working on RISC-V in OvmfPkg, which is a legitimate EDK II firmware component issue.",False
claude-sonnet-4-6,A,11336,[Bug]: Potential infinite loop and incorrect DeviceList handling in OpalPassword,securitypkg,False,0.95,"This is a legitimate bug report about a potential infinite loop and incorrect device list handling in the OpalPassword security package, which is a valid EDK II component issue.",False
claude-sonnet-4-6,A,11256,[Bug]: Assert if default string id is 0.,mdemodulepkg,False,0.95,"This is a valid bug report about an assert condition in MdeModulePkg related to a default string ID being 0, which is a legitimate EDK II firmware component issue.",False
claude-sonnet-4-6,A,11190,[Bug]: CodeQl error reported in NetBuffer.c,networkpkg,False,0.95,"This is a valid bug report about a CodeQL static analysis error in NetworkPkg's NetBuffer.c, which is a legitimate EDK II package component.",False
claude-sonnet-4-6,A,11140,[Bug]: Replace hardcoded value with existing #define constant,networkpkg,False,0.85,"This is a legitimate bug report requesting replacement of a hardcoded value with an existing #define constant in NetworkPkg, which is a valid code quality/correctness issue for the EDK II project.",False
claude-sonnet-4-6,A,11118,[Bug]: Var Store Fails to Recover from FTW Spare Block After Corruption,mdemodulepkg,False,0.92,"This is a genuine bug report about variable store recovery from FTW (Fault Tolerant Write) spare block after corruption in MdeModulePkg, which is a legitimate EDK II firmware component issue.",False
claude-sonnet-4-6,A,11113,[Bug]: InstallProtocolInterface() does not update the key of an existing handle,mdemodulepkg,False,0.95,"This is a genuine bug report about a specific EDK II function (InstallProtocolInterface) in MdeModulePkg not correctly updating handle keys, which is a legitimate firmware component issue worth investigating.",False
claude-sonnet-4-6,A,11088,[Bug]: <title>Add Ask deepwiki entry,other,True,0.95,"This appears to be spam or an unrelated entry about adding a 'deepwiki' feature, not a genuine EDK II bug report.",False
claude-sonnet-4-6,A,11074,[Bug]: default OVMF build overwrites memory on FreePages() causing page fault if pages are not writable,mdepkg,False,0.95,"This is a genuine bug report about OVMF's FreePages() overwriting memory which can cause page faults when pages are not writable, relating to EDK II memory management in MdePkg.",False
claude-sonnet-4-6,A,10925,[Bug]: Raid card option rom is not displayed in Device Manager form after repairing in Driver Health form.,mdemodulepkg,False,0.85,"This is a legitimate bug report about Driver Health and Device Manager HII form behavior in MdeModulePkg, which is a core EDK II component.",False
claude-sonnet-4-6,A,10892,[Bug]: SEV and SEV-ES VM boot is broken due to faulty check in AmdSvsmIsSvsmPresent(),ovmfpkg,False,0.99,"This is a genuine bug report about a faulty check in AmdSvsmIsSvsmPresent() causing SEV and SEV-ES VM boot failures in OvmfPkg, which is a legitimate EDK II firmware component issue.",False
claude-sonnet-4-6,A,10866,[Bug]: An unexpected black box appears at Setup Hotkey Region.,mdemodulepkg,False,0.85,"This is a legitimate bug report about an unexpected UI rendering issue (black box) in the Setup Hotkey Region within MdeModulePkg, which is a valid EDK II component bug.",False
claude-sonnet-4-6,A,10839,[Bug]: [OvmfPkg] Build fails due to insufficient FV size in edk2-stable202502,ovmfpkg,False,0.97,"This is a legitimate build failure bug report for OvmfPkg in a specific edk2 release tag, which is a reproducible and investigable issue.",False
claude-sonnet-4-6,A,10802,[Bug]: <title>error LNK2001: unresolved external symbol __security_pop_cookie Compile for AARCH64  in SafeString.obj,mdepkg,False,0.95,This is a genuine build failure bug report describing a linker error for an unresolved external symbol when compiling MdePkg for AARCH64 architecture.,False
claude-sonnet-4-6,A,10773,[Bug]: Configuring TemporaryRamSize using FSP-T arch UPD (added as part of Spec 2.5) is not working as expected.,intelfsp2pkg,False,0.95,"This is a genuine bug report related to EDK II's IntelFsp2Pkg, specifically about FSP-T architecture UPD configuration not working as expected, which is a legitimate firmware development issue.",False
claude-sonnet-4-6,A,10771,[Bug]: DXE core memory protection feature might cause inconsistency between GCD internal data structure with CPU page table,mdemodulepkg,False,0.98,This is a genuine bug report describing a potential inconsistency between GCD internal data structures and CPU page tables in the DXE core memory protection feature of MdeModulePkg.,False
claude-sonnet-4-6,A,10723,[Bug]: ShellPkg: ARMV9 support should be added to SmbioView command based on Type 4 processor information.,shellpkg,False,0.95,This is a legitimate bug report requesting ARMV9 processor support in the SmbioView command's Type 4 processor information handling within ShellPkg.,False
claude-sonnet-4-6,A,10664,[Bug]: Should update openssl to 3.4.1 for CVE-2024-13176,cryptopkg,False,0.97,This is a legitimate security vulnerability report requesting an OpenSSL version update in CryptoPkg to address CVE-2024-13176.,False
claude-sonnet-4-6,A,10663,[Bug]: [QEMU_EFI] Not Loading Network Protocol Drivers and http efi command,networkpkg|ovmfpkg,False,0.85,"This is a legitimate bug report about network protocol drivers and HTTP EFI command not loading in QEMU_EFI, relating to NetworkPkg and OvmfPkg components of EDK II.",False
claude-sonnet-4-6,A,10637,[Bug]: CLANGPDB linker warning /align without /driver,build-or-ci-code,False,0.95,This is a valid bug report about a CLANGPDB linker warning related to build toolchain behavior in EDK II.,False
claude-sonnet-4-6,A,10626,[Bug]: <title> DXE_ASSERT when issuing drvcfg command in UEFI Shell,shellpkg,False,0.85,This is a legitimate bug report about a DXE_ASSERT occurring in ShellPkg when using the drvcfg command in UEFI Shell.,False
claude-sonnet-4-6,A,10557,BaseTools FMMT handle case where Parent.Data is none (previously easier bug report?),nan,False,0.85,"This is a valid bug report about a specific issue in BaseTools FMMT where a None check is missing for Parent.Data, which is a legitimate EDK II build tool bug.",False
