model,system,issue_id,title,package,type,priority,predicted_assignee,confidence,reason,true_assignee,correct
gpt-5.5,A,11449,[Bug]: ShellPkg: add MRDIMM support in MemoryDeviceMemoryTechnologyTable to satisfy smbios v3.8,shellpkg,bug,medium,NingFengGit,0.97,"The bug is in ShellPkg SMBIOS/SmbioView and specifically concerns adding MRDIMM support in a MemoryDevice table, which matches the documented NingFengGit pattern.",NingFengGit,True
gpt-5.5,A,11394,[Bug]: BSP could free AP reset vector buffer even though AP wake up is in process,ueficpupkg,bug,medium,philnoh2,0.95,"The bug is in UefiCpuPkg and concerns BSP/AP wake-up synchronization and AP reset vector buffer lifetime, which matches philnoh2's documented BSP/AP multiprocessor synchronization scope.",philnoh2,True
gpt-5.5,A,11391,[Bug]: Encountering a build error with the CLANG compiler.,cryptopkg,bug,high,mdkinney,0.93,"The bug is in CryptoPkg and specifically reports a CLANG compiler build error, which matches the historical CryptoPkg CLANG build-error assignment pattern for mdkinney.",mdkinney,True
gpt-5.5,A,11374,[Bug]: UEFI runtime drivers loaded after EndOfDxe are not executable by OS,mdemodulepkg|ovmfpkg,bug,medium,vit9696,0.96,"The bug is specifically about UEFI runtime drivers loaded after EndOfDxe not being executable by the OS, which matches the OvmfPkg policy/driver executability pattern assigned to vit9696 rather than physical memory handling.",vit9696,True
gpt-5.5,A,11360,[Bug]: TCG2/TPM2 support on RISC-V does not work,ovmfpkg,bug,medium,yechao-w,0.55,"The bug is in OvmfPkg and specifically affects RISC-V platform support, matching the closest historical OvmfPkg/RISC-V assignment pattern for yechao-w.",Vogtinator,False
gpt-5.5,A,11336,[Bug]: Potential infinite loop and incorrect DeviceList handling in OpalPassword,securitypkg,bug,medium,HunterChang030,0.97,"The bug is in SecurityPkg's OpalPassword component and specifically concerns DeviceList handling, which directly matches the historical HunterChang030 pattern.",HunterChang030,True
gpt-5.5,A,11256,[Bug]: Assert if default string id is 0.,mdemodulepkg,bug,low,EricGao2015,0.93,"The bug is in MdeModulePkg and specifically concerns an assert involving a default string ID, which matches the historical EricGao2015 pattern for assert/string-id UI form bugs.",EricGao2015,True
gpt-5.5,A,11190,[Bug]: CodeQl error reported in NetBuffer.c,networkpkg,bug,low,BritChesley,0.95,"The bug is in NetworkPkg and specifically reports a CodeQL/static-analysis error, which matches the historical NetworkPkg CodeQL assignment pattern for BritChesley.",BritChesley,True
gpt-5.5,A,11140,[Bug]: Replace hardcoded value with existing #define constant,networkpkg,bug,low,SaloniKasbekar,0.95,"The bug is in NetworkPkg and specifically concerns replacing a hardcoded value with an existing #define constant, which matches SaloniKasbekar's historical assignment pattern.",SaloniKasbekar,True
gpt-5.5,A,11118,[Bug]: Var Store Fails to Recover from FTW Spare Block After Corruption,mdemodulepkg,bug,high,wenbhou,0.97,"The bug is in MdeModulePkg and specifically concerns variable store recovery from an FTW spare block after corruption, which matches the historical variable store/FTW spare block recovery pattern for wenbhou.",wenbhou,True
gpt-5.5,A,11113,[Bug]: InstallProtocolInterface() does not update the key of an existing handle,mdemodulepkg,bug,low,lgao4,0.96,"The bug is in MdeModulePkg core DXE protocol/handle management, specifically InstallProtocolInterface(), which the historical patterns map to lgao4.",lgao4,True
gpt-5.5,A,11088,[Bug]: <title>Add Ask deepwiki entry,other,bug,low,AshrafAliS,0.18,"The bug is labeled package:other with no specific code component match, and the closest historical unclassified/non-standard package issue was assigned to AshrafAliS.",lgao4,False
gpt-5.5,A,11074,[Bug]: default OVMF build overwrites memory on FreePages() causing page fault if pages are not writable,mdepkg,bug,low,os-d,0.96,"The bug concerns physical memory handling in OVMF/MdePkg, specifically FreePages() overwriting memory and page faults, which matches os-d's historical FreePages/page-table/memory-protection domain.",os-d,True
gpt-5.5,A,10925,[Bug]: Raid card option rom is not displayed in Device Manager form after repairing in Driver Health form.,mdemodulepkg,bug,low,EricGao2015,0.9,"The bug is in MdeModulePkg and specifically concerns the Device Manager form UI, which matches EricGao2015's historical assignment pattern for Device Manager/forms issues.",EricGao2015,True
gpt-5.5,A,10892,[Bug]: SEV and SEV-ES VM boot is broken due to faulty check in AmdSvsmIsSvsmPresent(),ovmfpkg,bug,high,jxu023,0.97,"The bug is in OvmfPkg and specifically concerns AMD SEV/SEV-ES VM boot with AmdSvsmIsSvsmPresent(), matching the historical SEV/AmdSvsm virtualization boot pattern for jxu023.",jxu023,True
gpt-5.5,A,10866,[Bug]: An unexpected black box appears at Setup Hotkey Region.,mdemodulepkg,bug,low,EricGao2015,0.93,"The bug is in MdeModulePkg and specifically concerns Setup Hotkey display/region rendering, which historically maps to EricGao2015.",EricGao2015,True
gpt-5.5,A,10839,[Bug]: [OvmfPkg] Build fails due to insufficient FV size in edk2-stable202502,ovmfpkg,bug,medium,r1chard-lyu,0.45,"The bug is an OvmfPkg build/FV layout size issue that does not match the more specific OvmfPkg patterns for memory protection, RISC-V, SEV, NetworkPkg, or Arm menu regressions, making r1chard-lyu the best available OvmfPkg-focused choice.",r1chard-lyu,True
gpt-5.5,A,10802,[Bug]: <title>error LNK2001: unresolved external symbol __security_pop_cookie Compile for AARCH64  in SafeString.obj,mdepkg,bug,medium,os-d,0.98,"The bug is in MdePkg and specifically matches the historical pattern for MdePkg LNK2001 unresolved symbol errors such as __security_pop_cookie, which are assigned to os-d.",os-d,True
gpt-5.5,A,10773,[Bug]: Configuring TemporaryRamSize using FSP-T arch UPD (added as part of Spec 2.5) is not working as expected.,intelfsp2pkg,bug,medium,praravin,0.98,"The bug is in IntelFsp2Pkg and specifically concerns FSP-T TemporaryRamSize configuration, which exactly matches the historical pattern for praravin.",praravin,True
gpt-5.5,A,10771,[Bug]: DXE core memory protection feature might cause inconsistency between GCD internal data structure with CPU page table,mdemodulepkg,bug,high,os-d,0.93,"The bug is about DXE core memory protection causing inconsistency between GCD data structures and CPU page tables, which matches os-d's physical memory/page table/GCD memory-protection bug pattern.",os-d,True
gpt-5.5,A,10723,[Bug]: ShellPkg: ARMV9 support should be added to SmbioView command based on Type 4 processor information.,shellpkg,bug,medium,praveensankarn,0.99,"The bug is in ShellPkg SmbioView and specifically requests ARMV9 processor Type 4 support, which matches the historical praveensankarn ARMV9/SmbioView pattern exactly.",praveensankarn,True
gpt-5.5,A,10664,[Bug]: Should update openssl to 3.4.1 for CVE-2024-13176,cryptopkg,bug,low,liyi77,0.95,"The bug is in CryptoPkg and specifically requests an OpenSSL version update for a CVE, which matches the historical CryptoPkg OpenSSL/CVE pattern assigned to liyi77.",liyi77,True
gpt-5.5,A,10663,[Bug]: [QEMU_EFI] Not Loading Network Protocol Drivers and http efi command,networkpkg|ovmfpkg,bug,low,AndreasBBS,0.95,"The bug explicitly combines QEMU_EFI/OvmfPkg with NetworkPkg driver-loading and HTTP EFI command issues, matching the QEMU_EFI + NetworkPkg combined driver-loading pattern.",AndreasBBS,True
gpt-5.5,A,10637,[Bug]: CLANGPDB linker warning /align without /driver,build-or-ci-code,bug,low,deeglaze,0.96,"This is a CLANGPDB linker warning outside RedfishPkg, specifically the documented '/align without /driver' general build toolchain case assigned to deeglaze.",deeglaze,True
gpt-5.5,A,10626,[Bug]: <title> DXE_ASSERT when issuing drvcfg command in UEFI Shell,shellpkg,bug,low,zhurui22,0.55,"The bug is in ShellPkg and specifically concerns the UEFI Shell drvcfg command causing a DXE_ASSERT, which does not match the ShellPkg SMBIOS/SmbioView special cases and most likely falls to the general ShellPkg command maintainer.",zhurui22,True
gpt-5.5,A,10557,BaseTools FMMT handle case where Parent.Data is none (previously easier bug report?),nan,bug,high,AshrafAliS,0.62,"The issue is a BaseTools FMMT-specific data handling bug, which does not match the known ECC/CI or NASM/toolchain BaseTools patterns and most likely maps to the FMMT-focused assignee AshrafAliS.",AshrafAliS,True
