model,system,issue_id,title,package,predicted_priority,true_priority,confidence,reason
claude-sonnet-4-6,A,11374,[Bug]: UEFI runtime drivers loaded after EndOfDxe are not executable by OS,mdemodulepkg|ovmfpkg,medium,medium,0.6,"This is a functional bug where UEFI runtime drivers loaded after EndOfDxe lack executable memory permissions for OS use, representing a spec compliance/interoperability issue with a potential workaround (loading drivers before EndOfDxe), similar in severity to other functional mdemodulepkg/ovmfpkg bugs labeled medium."
claude-sonnet-4-6,A,11360,[Bug]: TCG2/TPM2 support on RISC-V does not work,ovmfpkg,medium,medium,0.65,"TCG2/TPM2 not working on RISC-V is a functional bug affecting a specific platform/architecture combination, similar to 'qemu-kvm GUEST start failed on RISC-V' which was labeled medium."
claude-sonnet-4-6,A,11336,[Bug]: Potential infinite loop and incorrect DeviceList handling in OpalPassword,securitypkg,medium,medium,0.6,"A potential infinite loop in OpalPassword (SecurityPkg) is a functional bug that could cause system hangs, but likely has workarounds and is limited to specific configurations involving Opal-compliant storage devices."
claude-sonnet-4-6,A,11256,[Bug]: Assert if default string id is 0.,mdemodulepkg,low,low,0.7,"An assert triggered by a default string id of 0 in mdemodulepkg is a defensive check/edge case bug similar to other low-priority mdemodulepkg UI/form issues, with no indication of data corruption or security impact."
claude-sonnet-4-6,A,11190,[Bug]: CodeQl error reported in NetBuffer.c,networkpkg,low,low,0.75,"CodeQL errors are static analysis findings that typically represent code quality issues or warnings rather than confirmed bugs causing crashes or build failures, similar to other low-priority cosmetic/code quality issues in the examples."
claude-sonnet-4-6,A,11140,[Bug]: Replace hardcoded value with existing #define constant,networkpkg,low,low,0.92,"Replacing a hardcoded value with an existing #define constant is a code quality/cosmetic improvement with no functional impact, similar to other low-priority code quality issues like the CodeQL error in NetBuffer.c."
claude-sonnet-4-6,A,11118,[Bug]: Var Store Fails to Recover from FTW Spare Block After Corruption,mdemodulepkg,medium,high,0.65,"A failure to recover variable store from FTW spare block after corruption is a functional bug in MdeModulePkg's fault-tolerant write/variable storage subsystem that could cause variable loss but has workarounds (reflashing), aligning with medium-priority functional bugs in the same package."
claude-sonnet-4-6,A,11113,[Bug]: InstallProtocolInterface() does not update the key of an existing handle,mdemodulepkg,medium,low,0.6,"A bug in InstallProtocolInterface() that fails to update a handle key is a functional correctness issue in the DXE core that could affect protocol lookup and dispatch, similar in severity to other MdeModulePkg functional bugs labeled medium."
claude-sonnet-4-6,A,11088,[Bug]: <title>Add Ask deepwiki entry,other,low,low,0.8,Adding a documentation/wiki entry (deepwiki) is a cosmetic/documentation change with no functional impact on firmware behavior or builds.
claude-sonnet-4-6,A,11074,[Bug]: default OVMF build overwrites memory on FreePages() causing page fault if pages are not writable,mdepkg,high,low,0.75,"A bug causing page faults due to memory being overwritten on FreePages() in the default OVMF build is a crash-inducing memory corruption issue affecting all users of the default configuration, similar to 'Var Store Fails to Recover from FTW Spare Block After Corruption' and 'DXE core memory protection feature might cause inconsistency' which were both labeled high."
claude-sonnet-4-6,A,10925,[Bug]: Raid card option rom is not displayed in Device Manager form after repairing in Driver Health form.,mdemodulepkg,low,low,0.7,"This is a UI display bug in the Device Manager/Driver Health form, which per domain knowledge rule 3 is low priority unless it completely prevents user interaction — the RAID card option ROM not displaying after repair is a cosmetic/functional UI issue with a workaround, similar to other low-priority mdemodulepkg UI bugs in the examples."
claude-sonnet-4-6,A,10892,[Bug]: SEV and SEV-ES VM boot is broken due to faulty check in AmdSvsmIsSvsmPresent(),ovmfpkg,high,high,0.82,"A faulty check that completely breaks SEV and SEV-ES VM boot is a functional crash/boot failure affecting all users of those configurations, similar to 'qemu-kvm GUEST start failed on RISC-V' and 'BaseRiscV64CpuTimerLib crashes RealTimeClockRuntimeDxe' which were rated high."
claude-sonnet-4-6,A,10866,[Bug]: An unexpected black box appears at Setup Hotkey Region.,mdemodulepkg,low,low,0.85,"An unexpected black box at the Setup Hotkey Region is a UI/display cosmetic issue, similar to other low-priority display bugs in mdemodulepkg like the RAID card option ROM display issue and Assert on default string id, which were both labeled low."
claude-sonnet-4-6,A,10839,[Bug]: [OvmfPkg] Build fails due to insufficient FV size in edk2-stable202502,ovmfpkg,high,medium,0.75,"A build failure in OvmfPkg that blocks all users of the edk2-stable202502 branch regardless of compiler or configuration is a high-priority issue, similar to other build-blocking failures labeled high."
claude-sonnet-4-6,A,10802,[Bug]: <title>error LNK2001: unresolved external symbol __security_pop_cookie Compile for AARCH64  in SafeString.obj,mdepkg,medium,medium,0.75,"This is a build failure (unresolved external symbol __security_pop_cookie) limited to a specific architecture (AARCH64) and likely a specific toolchain, similar to other compiler/toolchain-specific build failures labeled medium."
claude-sonnet-4-6,A,10773,[Bug]: Configuring TemporaryRamSize using FSP-T arch UPD (added as part of Spec 2.5) is not working as expected.,intelfsp2pkg,medium,medium,0.6,"A functional bug where FSP-T architecture UPD configuration for TemporaryRamSize is not working as expected represents a spec compliance/functional issue with a workaround (using default values), similar in severity to other functional bugs labeled medium."
claude-sonnet-4-6,A,10771,[Bug]: DXE core memory protection feature might cause inconsistency between GCD internal data structure with CPU page table,mdemodulepkg,medium,high,0.65,"A potential inconsistency between GCD internal data structures and CPU page table in the DXE core memory protection feature is a functional bug that could cause instability but has a workaround (disabling the feature), similar to other medium-priority data structure and race condition bugs in mdemodulepkg."
claude-sonnet-4-6,A,10723,[Bug]: ShellPkg: ARMV9 support should be added to SmbioView command based on Type 4 processor information.,shellpkg,medium,medium,0.7,"Similar to the ShellPkg MRDIMM/smbios spec compliance issue labeled medium, this is a missing feature addition for spec compliance (ARMV9 processor type support in SmbioView Type 4), which is a published and widely adopted spec gap."
claude-sonnet-4-6,A,10664,[Bug]: Should update openssl to 3.4.1 for CVE-2024-13176,cryptopkg,low,low,0.75,"Per domain knowledge rule 1, CVE updates for OpenSSL in CryptoPkg are not automatically high priority since the vulnerable code path may not be reachable during UEFI execution; similar OpenSSL/crypto maintenance updates in edk2 are typically treated as low-to-medium maintenance tasks rather than critical security fixes."
claude-sonnet-4-6,A,10663,[Bug]: [QEMU_EFI] Not Loading Network Protocol Drivers and http efi command,networkpkg|ovmfpkg,medium,low,0.6,"Network protocol drivers not loading in QEMU_EFI is a functional bug affecting OVMF/NetworkPkg functionality, similar in severity to 'TCG2/TPM2 support on RISC-V does not work' which was labeled medium."
claude-sonnet-4-6,A,10637,[Bug]: CLANGPDB linker warning /align without /driver,build-or-ci-code,low,low,0.7,"A linker warning about /align without /driver is a cosmetic/non-blocking warning specific to the CLANGPDB toolchain, similar to the low-priority CodeQL and warning-related issues in the examples, and does not block the build."
claude-sonnet-4-6,A,10626,[Bug]: <title> DXE_ASSERT when issuing drvcfg command in UEFI Shell,shellpkg,medium,low,0.55,"A DXE_ASSERT triggered by a shell command (drvcfg) indicates a functional bug that causes a crash/assertion in a specific code path, similar to other medium-priority ShellPkg functional bugs with workarounds (avoid the command)."
claude-sonnet-4-6,A,10557,BaseTools FMMT handle case where Parent.Data is none (previously easier bug report?),nan,low,high,0.7,"This is a BaseTools FMMT edge case/null check fix, similar in nature to other cosmetic or minor code quality issues in the examples that were labeled low."
