model,system,issue_id,title,package,is_invalid,confidence,reason,true_invalid
claude-sonnet-4-6,A,11113,[Bug]: InstallProtocolInterface() does not update the key of an existing handle,mdemodulepkg,False,0.95,"This is a legitimate bug report about a specific EDK II function (InstallProtocolInterface) in MdeModulePkg not correctly updating handle keys, which is a reproducible firmware behavior issue.",False
claude-sonnet-4-6,A,11088,[Bug]: <title>Add Ask deepwiki entry,other,True,0.95,"This appears to be a spam or meta issue about adding a 'Ask deepwiki' entry, which is unrelated to EDK II firmware development.",False
claude-sonnet-4-6,A,11074,[Bug]: default OVMF build overwrites memory on FreePages() causing page fault if pages are not writable,mdepkg,False,0.95,"This is a genuine bug report describing a memory corruption/page fault issue in OVMF's FreePages() implementation in MdePkg, with enough context to investigate.",False
claude-sonnet-4-6,A,10925,[Bug]: Raid card option rom is not displayed in Device Manager form after repairing in Driver Health form.,mdemodulepkg,False,0.9,"This is a genuine bug report about Driver Health and Device Manager HII form behavior in MdeModulePkg, which is a legitimate EDK II firmware component issue.",False
claude-sonnet-4-6,A,10892,[Bug]: SEV and SEV-ES VM boot is broken due to faulty check in AmdSvsmIsSvsmPresent(),ovmfpkg,False,0.98,"This is a genuine bug report about a faulty check in AmdSvsmIsSvsmPresent() breaking SEV and SEV-ES VM boot in OvmfPkg, which is a legitimate EDK II firmware component issue.",False
claude-sonnet-4-6,A,10866,[Bug]: An unexpected black box appears at Setup Hotkey Region.,mdemodulepkg,False,0.85,"This is a genuine bug report about an unexpected UI rendering artifact (black box) in the Setup Hotkey Region within MdeModulePkg, which is a legitimate EDK II firmware component bug.",False
claude-sonnet-4-6,A,10839,[Bug]: [OvmfPkg] Build fails due to insufficient FV size in edk2-stable202502,ovmfpkg,False,0.97,"This is a genuine build failure bug report for OvmfPkg in a specific edk2 stable release, which is clearly within scope for the EDK II project tracker.",False
claude-sonnet-4-6,A,10802,[Bug]: <title>error LNK2001: unresolved external symbol __security_pop_cookie Compile for AARCH64  in SafeString.obj,mdepkg,False,0.95,This is a genuine build failure bug report describing an unresolved external symbol linker error when compiling MdePkg for AARCH64 architecture.,False
claude-sonnet-4-6,A,10773,[Bug]: Configuring TemporaryRamSize using FSP-T arch UPD (added as part of Spec 2.5) is not working as expected.,intelfsp2pkg,False,0.95,"This is a genuine bug report about FSP-T architecture UPD configuration in IntelFsp2Pkg, which is a legitimate EDK II package component.",False
claude-sonnet-4-6,A,10771,[Bug]: DXE core memory protection feature might cause inconsistency between GCD internal data structure with CPU page table,mdemodulepkg,False,0.98,"This is a genuine bug report describing a potential inconsistency between GCD internal data structures and CPU page tables in the DXE core memory protection feature, which is a legitimate EDK II firmware component issue.",False
claude-sonnet-4-6,A,10723,[Bug]: ShellPkg: ARMV9 support should be added to SmbioView command based on Type 4 processor information.,shellpkg,False,0.95,"This is a legitimate bug report requesting ARMV9 processor family support in the ShellPkg SmbioView command for SMBIOS Type 4 processor information, which is a valid EDK II feature/bug issue.",False
claude-sonnet-4-6,A,10664,[Bug]: Should update openssl to 3.4.1 for CVE-2024-13176,cryptopkg,False,0.97,This is a valid security bug report requesting an OpenSSL version update in CryptoPkg to address CVE-2024-13176.,False
claude-sonnet-4-6,A,10663,[Bug]: [QEMU_EFI] Not Loading Network Protocol Drivers and http efi command,networkpkg|ovmfpkg,False,0.85,"This is a legitimate bug report about network protocol drivers and HTTP EFI command not loading in QEMU_EFI, relating to NetworkPkg and OvmfPkg components in EDK II.",False
claude-sonnet-4-6,A,10637,[Bug]: CLANGPDB linker warning /align without /driver,build-or-ci-code,False,0.95,This is a legitimate bug report about a CLANGPDB linker warning related to build toolchain behavior in EDK II.,False
claude-sonnet-4-6,A,10626,[Bug]: <title> DXE_ASSERT when issuing drvcfg command in UEFI Shell,shellpkg,False,0.85,"This is a legitimate bug report about a DXE_ASSERT triggered by the drvcfg command in UEFI Shell, relating to ShellPkg which is a valid EDK II package.",False
claude-sonnet-4-6,A,10557,BaseTools FMMT handle case where Parent.Data is none (previously easier bug report?),nan,False,0.85,"This is a legitimate bug report about BaseTools FMMT (Firmware Image Tool) not handling a None value for Parent.Data, which is a real EDK II build tool issue.",False
